Product_ID,Product_Category,Orders,Actual_Returns,Actual_Return_Rate,Avg_Risk_Score,Avg_Price,Avg_Discount,Risk_Rank
PROD00008646,Electronics,1,1,100.0,0.6586,97.12,49.42,45
PROD00005992,Clothing,1,1,100.0,0.6586,452.44,46.85,46
PROD00006406,Clothing,1,1,100.0,0.658,463.86,12.08,47
PROD00008724,Clothing,1,0,0.0,0.6574,456.95,10.65,48
PROD00001909,Clothing,1,1,100.0,0.6573,157.29,37.58,49
PROD00009038,Clothing,1,1,100.0,0.6566,110.14,27.5,50
PROD00005363,Electronics,1,1,100.0,0.6565,86.88,10.5,51
PROD00000522,Books,1,0,0.0,0.6564,55.91,45.86,52
PROD00006281,Clothing,1,1,100.0,0.6562,72.88,48.72,53
PROD00004818,Electronics,1,1,100.0,0.656,247.54,5.33,54
PROD00004981,Clothing,1,1,100.0,0.656,382.06,43.65,55
PROD00009387,Clothing,1,1,100.0,0.6559,160.82,45.44,56
PROD00001332,Toys,1,0,0.0,0.6551,81.78,16.89,57
PROD00001266,Electronics,1,1,100.0,0.6551,69.91,37.71,58
PROD00000829,Clothing,1,1,100.0,0.6549,432.09,16.12,59
PROD00003854,Clothing,1,0,0.0,0.6549,345.2,24.45,60
PROD00003644,Electronics,1,1,100.0,0.6545,246.37,46.02,61
PROD00002916,Toys,1,1,100.0,0.6544,55.94,24.59,62
PROD00000754,Books,1,1,100.0,0.6543,454.4,44.65,63
PROD00008377,Electronics,1,1,100.0,0.6539,213.24,48.16,64
PROD00001006,Electronics,1,1,100.0,0.6539,299.71,41.87,65
PROD00002627,Electronics,1,0,0.0,0.6535,40.26,43.92,66
PROD00002244,Electronics,1,1,100.0,0.6533,28.91,2.59,67
PROD00001874,Clothing,1,1,100.0,0.6531,406.07,31.11,68
PROD00004567,Clothing,1,0,0.0,0.6531,435.46,45.94,69
PROD00002795,Clothing,1,0,0.0,0.6529,413.31,39.58,70
PROD00001331,Electronics,1,1,100.0,0.6527,6.29,42.91,71
PROD00008686,Home,1,0,0.0,0.6522,211.65,19.92,72
PROD00004135,Electronics,1,1,100.0,0.6519,405.93,42.86,73
PROD00007708,Electronics,1,1,100.0,0.6518,397.9,46.4,74
PROD00000048,Electronics,1,1,100.0,0.6516,344.31,10.99,75
PROD00006517,Electronics,1,1,100.0,0.6516,204.0,43.09,76
PROD00007168,Electronics,1,1,100.0,0.6514,129.7,45.64,77
PROD00007891,Home,1,1,100.0,0.6513,94.09,32.94,78
PROD00004051,Electronics,1,0,0.0,0.651,161.59,32.14,79
PROD00004281,Clothing,1,0,0.0,0.651,136.4,48.28,80
PROD00009260,Electronics,1,1,100.0,0.651,163.42,40.86,81
PROD00005467,Toys,1,0,0.0,0.6507,447.19,44.5,82
PROD00007628,Books,1,0,0.0,0.6507,117.42,9.45,83
PROD00003368,Books,1,1,100.0,0.6501,307.84,20.25,84
PROD00003665,Books,1,1,100.0,0.65,241.43,46.25,85
PROD00004283,Home,1,0,0.0,0.65,20.69,19.79,86
PROD00005524,Books,1,0,0.0,0.6499,69.18,40.71,87
PROD00001289,Books,1,1,100.0,0.6499,205.75,13.56,88
PROD00008114,Electronics,1,1,100.0,0.6493,102.51,49.86,89
PROD00004473,Electronics,1,1,100.0,0.6491,66.73,23.98,90
PROD00000740,Clothing,1,1,100.0,0.6489,403.35,48.18,91
PROD00005344,Clothing,1,0,0.0,0.6487,223.39,39.52,92
PROD00008966,Books,1,0,0.0,0.6485,396.18,14.94,93
PROD00009960,Electronics,1,1,100.0,0.6484,217.96,37.14,94
PROD00007688,Electronics,1,1,100.0,0.6478,115.8,36.57,95
PROD00007647,Books,1,1,100.0,0.6477,485.12,38.47,96
PROD00008360,Clothing,1,1,100.0,0.6476,37.37,48.05,97
PROD00004238,Clothing,1,1,100.0,0.6475,313.98,49.9,98
PROD00003832,Electronics,1,0,0.0,0.6473,435.39,15.88,99
PROD00004478,Electronics,1,0,0.0,0.6467,342.96,39.84,100
PROD00002038,Electronics,1,1,100.0,0.6466,480.7,48.51,101
PROD00001536,Books,1,0,0.0,0.6465,181.31,40.59,102
PROD00002459,Clothing,1,1,100.0,0.6463,162.82,9.21,103
PROD00004018,Clothing,1,1,100.0,0.6463,109.67,31.48,104
PROD00006217,Clothing,1,1,100.0,0.6462,201.51,22.88,105
PROD00005437,Clothing,1,1,100.0,0.6462,47.38,29.81,106
PROD00005038,Clothing,1,1,100.0,0.646,316.73,39.73,107
PROD00003252,Electronics,1,0,0.0,0.6458,435.26,45.37,108
PROD00000374,Books,1,0,0.0,0.6456,479.19,49.37,109
PROD00000835,Electronics,1,1,100.0,0.6453,270.07,27.05,110
PROD00009665,Clothing,1,0,0.0,0.6451,203.59,29.43,111
PROD00000776,Electronics,1,0,0.0,0.645,201.18,49.36,112
PROD00000941,Clothing,1,0,0.0,0.6447,403.01,47.34,113
PROD00001394,Home,1,0,0.0,0.6444,420.96,33.4,114
PROD00009392,Toys,1,1,100.0,0.6444,83.62,9.91,115
PROD00007825,Books,1,0,0.0,0.6441,26.41,48.75,116
PROD00006123,Clothing,1,1,100.0,0.6441,288.83,38.72,117
PROD00002235,Clothing,1,0,0.0,0.644,217.84,23.75,118
PROD00000945,Clothing,1,1,100.0,0.6437,71.42,46.94,119
PROD00000407,Clothing,1,1,100.0,0.6437,449.14,37.98,120
PROD00002422,Electronics,1,1,100.0,0.6435,184.78,41.51,121
PROD00004433,Clothing,1,0,0.0,0.6435,370.66,36.6,122
PROD00005531,Clothing,1,0,0.0,0.6435,241.52,20.68,123
PROD00008971,Electronics,1,1,100.0,0.6431,488.55,46.9,124
PROD00001029,Clothing,1,1,100.0,0.6431,249.08,31.22,125
PROD00007454,Electronics,1,0,0.0,0.6431,51.14,23.58,126
PROD00008520,Electronics,1,0,0.0,0.6429,8.04,33.27,127
PROD00004582,Books,1,0,0.0,0.6428,97.69,40.56,128
PROD00002324,Books,1,1,100.0,0.6426,414.45,35.4,129
PROD00004036,Electronics,1,0,0.0,0.6425,17.72,18.73,130
PROD00004653,Clothing,1,1,100.0,0.6423,149.37,33.82,131
PROD00009948,Clothing,1,1,100.0,0.6421,232.38,14.81,132
PROD00001095,Books,1,0,0.0,0.642,253.72,43.76,133
PROD00008782,Clothing,1,0,0.0,0.6414,30.75,16.08,134
PROD00003229,Electronics,1,0,0.0,0.6414,390.62,39.91,135
PROD00009453,Home,1,0,0.0,0.6412,217.78,10.55,136
PROD00007167,Clothing,1,1,100.0,0.6411,403.66,32.0,137
PROD00000703,Electronics,1,1,100.0,0.641,58.29,31.68,138
PROD00006424,Clothing,1,1,100.0,0.6409,94.11,49.97,139
PROD00005466,Clothing,1,0,0.0,0.6408,36.93,9.4,140
PROD00009563,Clothing,1,1,100.0,0.6407,431.77,29.52,141
PROD00002802,Clothing,1,1,100.0,0.6406,370.26,47.12,142
PROD00001325,Clothing,1,1,100.0,0.6404,482.67,36.74,143
PROD00002233,Electronics,1,0,0.0,0.6404,230.32,41.92,144
PROD00001948,Toys,1,1,100.0,0.6404,147.83,43.9,145
PROD00001084,Clothing,1,0,0.0,0.6404,37.44,2.44,146
PROD00009335,Clothing,1,0,0.0,0.6401,324.75,15.3,147
PROD00009248,Home,1,1,100.0,0.6399,406.03,22.75,148
PROD00006446,Electronics,1,1,100.0,0.6398,172.71,30.24,149
PROD00005934,Clothing,1,1,100.0,0.6396,331.95,27.07,150
PROD00004795,Home,1,1,100.0,0.6396,288.03,13.72,151
PROD00004686,Clothing,1,1,100.0,0.6395,90.21,39.49,152
PROD00002544,Electronics,1,0,0.0,0.6395,101.61,28.9,153
PROD00001456,Clothing,1,1,100.0,0.6395,235.29,16.98,154
PROD00001632,Electronics,1,0,0.0,0.6394,236.34,44.85,155
PROD00006885,Electronics,1,1,100.0,0.6393,202.29,46.28,156
PROD00003547,Home,1,1,100.0,0.6392,99.26,37.89,157
PROD00009840,Clothing,1,1,100.0,0.6391,168.65,49.09,158
PROD00002718,Electronics,1,0,0.0,0.6389,84.52,1.09,159
PROD00009680,Toys,1,1,100.0,0.6389,425.13,41.3,160
PROD00003326,Electronics,1,0,0.0,0.6389,271.69,45.14,161
PROD00004724,Clothing,1,0,0.0,0.6386,359.39,31.79,162
PROD00003567,Books,1,1,100.0,0.6386,87.31,20.92,163
PROD00000005,Electronics,1,1,100.0,0.6386,252.12,47.61,164
PROD00006867,Electronics,1,1,100.0,0.6385,343.08,36.99,165
PROD00004916,Clothing,1,1,100.0,0.6384,136.59,46.78,166
PROD00007218,Toys,1,0,0.0,0.6383,318.61,7.01,167
PROD00002642,Clothing,1,0,0.0,0.6383,343.65,25.63,168
PROD00003160,Electronics,1,1,100.0,0.6382,185.62,49.41,169
PROD00000688,Clothing,1,1,100.0,0.6381,374.94,15.68,170
PROD00004490,Clothing,1,0,0.0,0.638,152.28,9.61,171
PROD00006190,Books,1,1,100.0,0.6379,63.79,28.03,172
PROD00008805,Electronics,1,0,0.0,0.6378,130.2,14.4,173
PROD00003250,Electronics,1,1,100.0,0.6375,226.48,32.3,174
PROD00009146,Clothing,1,1,100.0,0.6375,422.15,32.82,175
PROD00006679,Clothing,1,0,0.0,0.6374,66.78,18.18,176
PROD00007267,Electronics,1,1,100.0,0.6374,282.02,42.96,177
PROD00005014,Clothing,1,1,100.0,0.6374,137.22,39.8,178
PROD00000813,Electronics,1,1,100.0,0.6372,469.16,39.01,179
PROD00002330,Books,1,0,0.0,0.6371,213.52,47.77,180
PROD00002743,Toys,1,1,100.0,0.6368,81.01,44.09,181
PROD00008000,Clothing,1,0,0.0,0.6368,312.12,31.31,182
PROD00001838,Electronics,1,1,100.0,0.6367,185.82,24.92,183
PROD00004110,Home,1,0,0.0,0.6367,99.13,41.33,184
PROD00002529,Clothing,1,0,0.0,0.6365,379.97,44.89,185
PROD00009345,Clothing,1,0,0.0,0.6365,487.57,29.86,186
PROD00001392,Electronics,1,1,100.0,0.6364,143.28,8.2,187
PROD00002050,Books,1,0,0.0,0.6364,328.62,41.27,188
PROD00003691,Home,1,1,100.0,0.6361,221.96,39.83,189
PROD00000588,Clothing,1,1,100.0,0.6361,129.14,17.15,190
PROD00009430,Books,1,0,0.0,0.6356,114.16,26.31,191
PROD00001702,Electronics,1,1,100.0,0.6353,295.18,15.96,192
PROD00007656,Clothing,1,1,100.0,0.6353,302.66,23.44,193
PROD00008912,Home,1,1,100.0,0.6353,189.99,40.07,194
PROD00000384,Books,1,1,100.0,0.6352,239.47,47.1,195
PROD00008278,Electronics,1,1,100.0,0.6352,55.13,43.51,196
PROD00006285,Clothing,1,1,100.0,0.6352,142.35,45.21,197
PROD00005670,Electronics,1,1,100.0,0.6352,12.37,5.74,198
PROD00008041,Clothing,1,1,100.0,0.6351,310.7,10.71,199
PROD00001118,Electronics,1,1,100.0,0.6351,42.38,30.34,200
PROD00003173,Books,1,0,0.0,0.635,71.21,14.0,201
PROD00001023,Clothing,1,1,100.0,0.6349,131.99,4.85,202
PROD00002189,Clothing,1,0,0.0,0.6349,199.96,40.18,203
PROD00009197,Electronics,1,1,100.0,0.6347,157.25,47.06,204
PROD00007231,Electronics,1,0,0.0,0.6346,371.33,38.26,205
PROD00001725,Home,1,1,100.0,0.6345,210.76,29.97,206
PROD00006953,Books,1,1,100.0,0.6345,496.94,45.72,207
PROD00001282,Electronics,1,0,0.0,0.6345,131.83,32.67,208
PROD00007301,Books,1,1,100.0,0.6344,17.5,34.33,209
PROD00005045,Electronics,1,1,100.0,0.6343,355.37,13.87,210
PROD00002470,Electronics,1,1,100.0,0.6342,237.27,24.43,211
PROD00000357,Electronics,1,0,0.0,0.6339,219.57,40.21,212
PROD00008517,Books,1,0,0.0,0.6338,77.1,22.51,213
PROD00003663,Clothing,1,0,0.0,0.6335,401.04,38.8,214
PROD00008890,Books,1,0,0.0,0.6335,167.48,48.21,215
PROD00001353,Clothing,1,0,0.0,0.6335,484.68,12.83,216
PROD00004345,Clothing,1,1,100.0,0.6335,313.03,10.27,217
PROD00004366,Home,1,1,100.0,0.6334,292.19,47.54,218
PROD00007381,Electronics,1,0,0.0,0.6334,434.18,34.81,219
PROD00007558,Toys,1,1,100.0,0.6334,348.39,4.3,220
PROD00007965,Clothing,1,1,100.0,0.6333,98.36,27.5,221
PROD00006902,Books,1,0,0.0,0.6333,199.72,41.96,222
PROD00001026,Electronics,1,1,100.0,0.6332,63.34,30.48,223
PROD00007394,Clothing,1,1,100.0,0.633,7.67,36.09,224
PROD00003668,Electronics,1,1,100.0,0.6329,302.77,18.01,225
PROD00002865,Electronics,1,0,0.0,0.6329,23.29,36.97,226
PROD00007215,Electronics,1,0,0.0,0.6328,219.8,37.21,227
PROD00003149,Clothing,1,1,100.0,0.6325,235.97,44.94,228
PROD00009356,Books,1,1,100.0,0.6325,238.21,44.62,229
PROD00003148,Clothing,1,1,100.0,0.6324,327.87,32.8,230
PROD00002570,Toys,1,1,100.0,0.6323,337.57,47.64,231
PROD00004673,Toys,1,1,100.0,0.6323,5.19,31.04,232
PROD00005613,Home,1,1,100.0,0.6323,32.21,39.34,233
PROD00005184,Clothing,1,1,100.0,0.6323,291.79,26.98,234
PROD00008499,Electronics,1,1,100.0,0.6322,480.15,49.91,235
PROD00006591,Home,1,1,100.0,0.632,150.76,38.52,236
PROD00000871,Electronics,1,0,0.0,0.6319,172.92,11.62,237
PROD00000291,Clothing,1,1,100.0,0.6318,181.12,31.29,238
PROD00007136,Home,1,0,0.0,0.6318,90.0,24.37,239
PROD00007333,Electronics,1,1,100.0,0.6317,73.47,10.09,240
PROD00000639,Clothing,1,1,100.0,0.6317,385.74,47.93,241
PROD00000709,Clothing,1,0,0.0,0.6315,228.78,10.66,242
PROD00009789,Electronics,1,0,0.0,0.6315,295.19,13.16,243
PROD00009721,Electronics,1,0,0.0,0.6312,413.75,26.11,244
PROD00008331,Clothing,1,0,0.0,0.631,103.22,15.01,245
PROD00009582,Toys,1,0,0.0,0.631,287.79,38.93,246
PROD00001701,Books,1,0,0.0,0.6308,386.03,42.64,247
PROD00006169,Electronics,1,1,100.0,0.6308,448.46,49.31,248
PROD00002119,Clothing,1,1,100.0,0.6303,82.97,34.92,249
PROD00006097,Clothing,1,1,100.0,0.6302,201.65,37.98,250
PROD00006859,Books,1,1,100.0,0.6301,450.1,42.22,251
PROD00000325,Home,1,0,0.0,0.6299,88.69,47.58,252
PROD00003907,Clothing,1,1,100.0,0.6298,13.37,41.37,253
PROD00006185,Electronics,1,1,100.0,0.6298,252.79,39.82,254
PROD00006556,Electronics,1,0,0.0,0.6297,452.79,8.5,255
PROD00006082,Books,1,1,100.0,0.6297,207.43,42.98,256
PROD00000964,Electronics,1,0,0.0,0.6296,197.92,23.22,257
PROD00003341,Electronics,1,0,0.0,0.6296,282.33,43.29,258
PROD00005476,Books,1,0,0.0,0.6295,437.97,49.26,259
PROD00006637,Books,1,1,100.0,0.6295,11.68,14.7,260
PROD00003464,Home,1,1,100.0,0.6295,383.77,8.2,261
PROD00005537,Clothing,1,0,0.0,0.6294,10.32,36.89,262
PROD00001338,Clothing,1,0,0.0,0.6294,144.89,22.92,263
PROD00003535,Books,1,1,100.0,0.6293,75.11,39.5,264
PROD00009224,Electronics,1,0,0.0,0.6292,198.11,35.67,265
PROD00005055,Clothing,1,1,100.0,0.6291,332.99,8.69,266
PROD00006049,Electronics,1,1,100.0,0.6291,426.54,16.02,267
PROD00005254,Electronics,1,0,0.0,0.6291,392.12,44.55,268
PROD00002797,Electronics,1,0,0.0,0.629,321.71,22.94,269
PROD00008434,Toys,1,0,0.0,0.6289,498.63,41.21,270
PROD00002352,Books,1,0,0.0,0.6289,493.92,26.78,271
PROD00004090,Electronics,1,1,100.0,0.6287,72.76,9.5,272
PROD00006295,Home,1,1,100.0,0.6287,25.75,45.65,273
PROD00007476,Electronics,1,1,100.0,0.6287,436.95,36.34,274
PROD00002445,Clothing,1,1,100.0,0.6286,29.68,42.7,275
PROD00009688,Clothing,1,0,0.0,0.6285,290.0,3.93,276
PROD00002240,Toys,1,1,100.0,0.6284,169.17,26.13,277
PROD00004778,Clothing,1,0,0.0,0.6284,84.66,15.84,278
PROD00001571,Clothing,1,1,100.0,0.6284,96.47,20.96,279
PROD00000196,Electronics,1,1,100.0,0.6283,6.5,23.83,280
PROD00008435,Electronics,1,0,0.0,0.6282,333.64,43.86,281
PROD00007498,Clothing,1,0,0.0,0.6281,240.27,18.26,282
PROD00006154,Clothing,1,1,100.0,0.628,388.29,4.08,283
PROD00001452,Electronics,1,0,0.0,0.628,138.83,36.11,284
PROD00000615,Clothing,1,1,100.0,0.6278,74.1,49.16,285
PROD00001440,Toys,1,1,100.0,0.6277,316.76,41.31,286
PROD00008874,Home,1,1,100.0,0.6277,331.75,47.59,287
PROD00008785,Home,1,0,0.0,0.6276,145.84,40.07,288
PROD00003136,Clothing,1,1,100.0,0.6275,262.1,14.09,289
PROD00009198,Electronics,1,1,100.0,0.6274,312.61,25.51,290
PROD00001492,Toys,1,1,100.0,0.6273,498.15,43.65,291
PROD00004407,Clothing,1,0,0.0,0.6271,137.16,25.86,292
PROD00006409,Electronics,1,1,100.0,0.6271,117.62,45.71,293
PROD00006711,Electronics,1,0,0.0,0.627,106.64,2.02,294
PROD00007463,Clothing,1,0,0.0,0.6268,211.31,34.3,295
PROD00000270,Clothing,1,1,100.0,0.6268,354.81,29.05,296
PROD00007554,Home,1,1,100.0,0.6268,67.54,45.79,297
PROD00002220,Electronics,1,1,100.0,0.6267,49.04,7.34,298
PROD00001918,Clothing,1,1,100.0,0.6266,220.08,35.78,299
PROD00004980,Electronics,1,1,100.0,0.6266,377.28,17.65,300
PROD00006271,Electronics,1,1,100.0,0.6264,12.22,11.18,301
PROD00008177,Clothing,1,1,100.0,0.6264,488.17,25.12,302
PROD00005223,Clothing,1,1,100.0,0.6263,194.93,24.76,303
PROD00000516,Clothing,1,0,0.0,0.6262,263.37,6.97,304
PROD00008088,Home,1,0,0.0,0.6261,171.83,30.1,305
PROD00008396,Electronics,1,0,0.0,0.626,443.15,5.31,306
PROD00008031,Clothing,1,1,100.0,0.626,292.89,0.99,307
PROD00008381,Books,1,0,0.0,0.6257,5.36,40.99,308
PROD00003898,Electronics,1,1,100.0,0.6257,72.56,7.99,309
PROD00008033,Electronics,1,1,100.0,0.6257,138.37,37.31,310
PROD00001417,Clothing,1,0,0.0,0.6257,73.71,45.5,311
PROD00006159,Toys,1,1,100.0,0.6257,202.25,14.67,312
PROD00003247,Clothing,1,1,100.0,0.6257,179.46,32.48,313
PROD00003865,Toys,1,1,100.0,0.6257,195.73,31.49,314
PROD00002173,Home,1,0,0.0,0.6256,159.26,36.98,315
PROD00004019,Clothing,1,1,100.0,0.6255,74.64,45.3,316
PROD00006444,Home,1,1,100.0,0.6254,341.67,7.45,317
PROD00005844,Books,1,0,0.0,0.6252,297.3,23.44,318
PROD00006779,Electronics,1,1,100.0,0.6252,308.97,12.5,319
PROD00008747,Clothing,1,0,0.0,0.6251,35.9,31.35,320
PROD00000990,Toys,1,1,100.0,0.6251,430.94,28.47,321
PROD00005962,Toys,1,1,100.0,0.6249,273.96,24.7,322
PROD00001841,Home,1,1,100.0,0.6249,64.23,26.28,323
PROD00002680,Clothing,1,1,100.0,0.6248,6.3,42.43,324
PROD00002227,Electronics,1,0,0.0,0.6248,61.44,18.5,325
PROD00005492,Electronics,1,0,0.0,0.6248,411.99,38.73,326
PROD00002597,Home,1,1,100.0,0.6248,64.5,21.78,327
PROD00008139,Books,1,1,100.0,0.6248,438.48,48.93,328
PROD00004392,Clothing,1,1,100.0,0.6248,290.55,13.32,329
PROD00004983,Home,1,0,0.0,0.6247,168.64,31.0,330
PROD00009263,Clothing,1,1,100.0,0.6245,302.79,16.54,331
PROD00008321,Electronics,1,0,0.0,0.6244,296.27,7.55,332
PROD00000887,Home,1,0,0.0,0.6243,169.26,42.34,333
PROD00004181,Books,1,1,100.0,0.6243,67.62,20.48,334
PROD00006223,Electronics,1,0,0.0,0.6242,426.07,33.43,335
PROD00001609,Electronics,1,1,100.0,0.6241,111.64,16.42,336
PROD00009428,Electronics,1,1,100.0,0.624,140.04,43.97,337
PROD00008945,Clothing,1,1,100.0,0.624,175.11,18.58,338
PROD00003790,Clothing,1,0,0.0,0.6239,339.13,37.62,339
PROD00003065,Electronics,1,0,0.0,0.6239,66.58,49.9,340
PROD00007754,Books,1,0,0.0,0.6237,404.91,9.92,341
PROD00002545,Clothing,1,1,100.0,0.6236,202.94,18.24,342
PROD00003301,Electronics,1,1,100.0,0.6236,225.37,40.55,343
PROD00005058,Electronics,1,1,100.0,0.6234,19.17,9.73,344
PROD00005871,Electronics,1,0,0.0,0.6234,485.35,21.31,345
PROD00007211,Clothing,1,0,0.0,0.6234,176.42,37.41,346
PROD00009700,Clothing,1,1,100.0,0.6233,382.82,38.54,347
PROD00004617,Electronics,1,0,0.0,0.6233,54.47,36.81,348
PROD00007005,Clothing,1,1,100.0,0.6232,32.39,23.68,349
PROD00007341,Clothing,1,1,100.0,0.6232,103.7,42.24,350
PROD00004875,Clothing,1,1,100.0,0.6232,377.12,34.22,351
PROD00001509,Clothing,1,1,100.0,0.6231,89.63,28.25,352
PROD00004636,Books,1,0,0.0,0.6229,29.86,42.35,353
PROD00002205,Books,1,1,100.0,0.6228,160.15,47.91,354
PROD00008388,Electronics,1,1,100.0,0.6227,486.24,41.71,355
PROD00001759,Books,1,1,100.0,0.6225,287.52,24.85,356
PROD00001489,Books,1,0,0.0,0.6225,233.03,45.11,357
PROD00009436,Clothing,1,0,0.0,0.6224,480.54,0.55,358
PROD00006201,Electronics,1,1,100.0,0.6223,174.11,30.35,359
PROD00009120,Clothing,1,1,100.0,0.6222,209.05,31.8,360
PROD00002147,Electronics,1,1,100.0,0.6222,144.28,45.56,361
PROD00006194,Electronics,1,0,0.0,0.6222,101.91,34.93,362
PROD00009883,Clothing,1,1,100.0,0.6221,5.54,18.21,363
PROD00006957,Toys,1,0,0.0,0.622,166.99,19.97,364
PROD00005528,Electronics,1,1,100.0,0.622,10.58,46.21,365
PROD00006551,Electronics,1,0,0.0,0.622,399.45,33.28,366
PROD00001914,Books,1,0,0.0,0.6219,236.83,31.25,367
PROD00005010,Clothing,1,1,100.0,0.6219,28.88,24.21,368
PROD00005465,Books,1,1,100.0,0.6219,193.98,37.64,369
PROD00003083,Books,1,0,0.0,0.6219,76.54,10.43,370
PROD00006248,Toys,1,1,100.0,0.6219,118.45,13.72,371
PROD00007664,Books,1,1,100.0,0.6218,114.85,38.64,372
PROD00006228,Home,1,0,0.0,0.6216,365.88,35.2,373
PROD00002681,Toys,1,1,100.0,0.6216,384.57,8.53,374
PROD00005544,Electronics,1,0,0.0,0.6215,33.26,15.21,375
PROD00007622,Books,1,1,100.0,0.6215,337.35,30.61,376
PROD00003863,Toys,1,1,100.0,0.6215,316.14,14.74,377
PROD00004104,Clothing,1,1,100.0,0.6213,327.64,35.97,378
PROD00002209,Books,1,0,0.0,0.6213,166.74,27.49,379
PROD00001595,Clothing,1,1,100.0,0.6211,34.47,25.29,380
PROD00008648,Toys,1,1,100.0,0.6211,461.53,29.28,381
PROD00002567,Electronics,1,1,100.0,0.6211,447.27,34.69,382
PROD00003579,Electronics,1,1,100.0,0.6209,182.35,31.63,383
PROD00002553,Toys,1,1,100.0,0.6209,309.33,43.52,384
PROD00008504,Home,1,0,0.0,0.6207,38.29,23.16,385
PROD00005504,Books,1,1,100.0,0.6207,103.83,8.5,386
PROD00005449,Home,1,0,0.0,0.6206,288.02,43.52,387
PROD00000064,Books,1,1,100.0,0.6206,429.41,13.22,388
PROD00001712,Electronics,1,1,100.0,0.6205,207.34,38.86,389
PROD00003515,Toys,1,0,0.0,0.6205,136.86,20.79,390
PROD00008188,Clothing,1,0,0.0,0.6205,218.9,28.43,391
PROD00004945,Electronics,1,0,0.0,0.6204,249.52,11.29,392
PROD00001727,Toys,1,1,100.0,0.6204,334.8,43.79,393
PROD00001696,Home,1,1,100.0,0.6204,32.09,33.58,394
PROD00009125,Home,1,0,0.0,0.6203,71.94,38.36,395
PROD00004071,Home,1,1,100.0,0.6202,68.55,45.12,396
PROD00009616,Books,1,0,0.0,0.6201,288.95,20.06,397
PROD00006413,Electronics,1,1,100.0,0.6201,36.38,30.4,398
PROD00000404,Books,1,0,0.0,0.62,298.58,46.65,399
PROD00004798,Clothing,1,1,100.0,0.6199,313.14,8.7,400
PROD00007812,Clothing,1,1,100.0,0.6199,355.52,17.79,401
PROD00002982,Clothing,1,0,0.0,0.6198,255.03,37.57,402
PROD00007334,Home,1,0,0.0,0.6197,455.89,8.64,403
